Antibody Name,Fab PDB,Variant,Spike RBD,Spike RBD PDB,HADDOCK Job Name,Fab Active Residues,RBD Active Residues,Submitted,Cluster,Job Tar File,HADDOCK score,HADDOCK score CB,Cluster size,RMSD from the overall lowest-energy structure,RMSD from the overall lowest-energy structure (+/-),Van der Waals energy,Van der Waals energy (+/-),Electrostatic energy,Electrostatic energy (+/-),Desolvation energy,Desolvation energy (+/-),Restraints violation energy,Restraints violation energy (+/-),Buried Surface Area,Surface Area (+/-),Z-Score,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,prodigy_deltaG_kcalpermol_37C,prodigy_dissociation_constant_M_37C
C105,6xcn_AB_clean_cut.pdb,WT,WT,6xcn_RBD.pdb,6xc_DEFAULT_UPDATED,"26,27,28,29,30,31,32,33,52,53,54,59,60,61,62,63,64,65,66,67,71,72,73,74,75,94,95,96,97,98,99,100,101,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1068,1069, 1090,1091,1092,1093,1094,1095'","405,415,421,457,460,473, 502'",Yes,1,278142-6xc_DEFAULT_UPDATED.tar,-139.2,2.7,124,1.5,1,-87,7.1,-270.9,10.7,-27.8,3,297.6,57.1,2446.2,96.8,-1.4,-14,5.70E-11,-14,1.40E-10
C105,6xcn_AB_clean_cut.pdb,BA.1,BA.1,BA_1_7ykj_default.pdb,6xcn_BA1,"26,27,28,29,30,31,32,33,52,53,54,59,60,61,62,63,64,65,66,67,71,72,73,74,75,94,95,96,97,98,99,100,101,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1068,1069, 1090,1091,1092,1093,1094,1095'","405,415,421,457,460,473, 502'",Yes,1,278151-6xcn_BA1.tar,-145,2,82,3.2,1.9,-87.8,3.5,-269.9,40.4,-33,9.4,298.2,65.6,2536.3,68.7,-1.3,-14.3,3.00E-11,-14.3,7.60E-11
C105,6xcn_AB_clean_cut.pdb,BA.2,BA.2,BA_2_renumbered_and_relaxed.pdb,6xcn_BA2,"26,27,28,29,30,31,32,33,52,53,54,59,60,61,62,63,64,65,66,67,71,72,73,74,75,94,95,96,97,98,99,100,101,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1068,1069, 1090,1091,1092,1093,1094,1095'","405,415,421,457,460,473, 502'",Yes,2,278153-6xcn_BA2.tar,-120.1,7.9,32,1.5,1,-90.6,4.4,-166.9,14.3,-28.5,1.9,324.4,33.2,2535,84.7,-1.5,-14,5.60E-11,-14,1.40E-10
C105,6xcn_AB_clean_cut.pdb,XBB.1.5,XBB.1.5,XBB15_af284_relaxed_rank_1_model_1_renumbered.pdb,6xcn_XBB15,"26,27,28,29,30,31,32,33,52,53,54,59,60,61,62,63,64,65,66,67,71,72,73,74,75,94,95,96,97,98,99,100,101,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1068,1069, 1090,1091,1092,1093,1094,1095'","415, 421, 457, 473, 502",Yes,2,278156-6xcn_XBB15.tar,-114.2,6.3,38,2.8,0.8,-70.1,3.5,-255.2,33.6,-24,4.8,310,61.5,2487.6,66.5,-1.5,-11.6,3.10E-09,-11.6,6.50E-09
C105,6xcn_AB_clean_cut.pdb,BA.2.86,BA.2.86,BA_286_relaxed_renumbered.pdb,6xcn_BA286,"26,27,28,29,30,31,32,33,52,53,54,59,60,61,62,63,64,65,66,67,71,72,73,74,75,94,95,96,97,98,99,100,101,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1068,1069, 1090,1091,1092,1093,1094,1095'","405, 414, 420, 456, 459, 472,499",Yes,2,278158-6xcn_BA286.tgz,-118.7,8.3,41,1.5,1,-86.3,6.3,-161.7,22.1,-38.9,2.2,388.6,118.92,2325.9,89.6,-1.4,-11.7,2.70E-09,-11.7,5.70E-09
C102,7k8m_AB_clean.pdb,WT,WT,7k8m_RBD_clean.pdb,7k8m_Default,"1,2,25,26,27,28,29,30,31,32,33,53,54,60,61,62,63,64,65,66,72,73,74,75,76,94,95,96,97,98,99,100,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1066,1067,1068,1092,1093,1094,1095,1096,1097'","417,420,421,453,455,457,458,473,475,477,489,501,502,505'",Yes,1,278856-7k8m_Default.tar,-125.9,3.6,68,16.2,0.2,-90.5,2.4,-261.7,13.6,-27.2,2.6,441.2,18.53,2474.7,84.5,-1.2,-14.8,1.50E-11,-14.8,4.00E-11
C102,7k8m_AB_clean.pdb,BA.1,BA.1,BA_1_7ykj_default.pdb,7k8m_BA1,"1,2,25,26,27,28,29,30,31,32,33,53,54,60,61,62,63,64,65,66,72,73,74,75,76,94,95,96,97,98,99,100,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1066,1067,1068,1092,1093,1094,1095,1096,1097'","417, 420, 421, 453, 455, 457, 458, 473, 475, 489, 502'",Yes,2,278857-7k8m_BA1.tar,-123.8,14.7,23,1.1,1,-97.5,9.7,-158.3,16.2,-41,4.3,463.7,88.79,2740.5,186.9,-1.7,-13.8,8.00E-11,-13.8,2.00E-10
C102,7k8m_AB_clean.pdb,BA.2,BA.2,BA_2_renumbered_and_relaxed.pdb,7k8m_BA2,"1,2,25,26,27,28,29,30,31,32,33,53,54,60,61,62,63,64,65,66,72,73,74,75,76,94,95,96,97,98,99,100,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1066,1067,1068,1092,1093,1094,1095,1096,1097'","417, 420, 421, 453, 455, 457, 458, 473, 475, 489, 502'",Yes,1,278858-7k8m_BA2.tar,-103.6,2.6,39,4.7,0.3,-87.2,4.7,-103.8,16,-30.7,4.7,350.9,43.27,2436.9,60,-1.3,-14,5.80E-11,-14,1.50E-10
C102,7k8m_AB_clean.pdb,BA.2.86,BA.2.86,BA_286_relaxed_renumbered.pdb,7k8m_BA286,"1,2,25,26,27,28,29,30,31,32,33,53,54,60,61,62,63,64,65,66,72,73,74,75,76,94,95,96,97,98,99,100,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1066,1067,1068,1092,1093,1094,1095,1096,1097'","416, 419, 420, 452, 454, 456, 457, 472, 474, 486, 499'",Yes,7,278859-7k8m_BA286.tar,-104.4,11.9,7,15.5,0.1,-86.9,11.4,-164.9,14.2,-24.7,4.6,402.2,105.03,2444.6,131,-1.3,-12.4,8.40E-10,-12.4,1.90E-09
C102,7k8m_AB_clean.pdb,XBB.1.5,XBB.1.5,XBB15_af284_relaxed_rank_1_model_1_renumbered.pdb,7k8m_XBB15,"1,2,25,26,27,28,29,30,31,32,33,53,54,60,61,62,63,64,65,66,72,73,74,75,76,94,95,96,97,98,99,100,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1066,1067,1068,1092,1093,1094,1095,1096,1097'","417, 420, 421, 453, 455, 457, 458, 473, 475, 489, 502'",Yes,2,278860-7k8m_XBB15.tar,-116.8,6.8,42,0.5,0.3,-93.5,5.2,-179.8,33.2,-26,2.5,386.5,67.87,2643.6,49.5,-2.4,-14.7,1.60E-11,-14.7,4.30E-11
